m/z,intensity
325.1891,193.9871
326.1718,362.9204
326.2441,885.8696
327.203,2662.8694
328.2067,320.3232
329.1818,622.8419
330.1302,1059.1182
330.1671,563.6608
330.1928,1630.9707
330.6638,109.5154
331.1956,220.5327
332.2085,9395.377
333.2116,1060.8099
334.1728,135.4126
337.1512,137.4395
339.1662,658.4216
339.2031,265.1839
340.1867,5055.8462
341.192,604.9133
341.218,445.6227
342.1312,134.5677
343.1954,132.4654
345.1577,120.9302
345.191,258.2612
347.1922,281.7817
348.2053,569.5991
350.2189,43087.168
351.2223,6235.75
352.1332,262.3874
352.2233,132.6326
352.6896,289.2188
353.1822,173.6459
355.1618,211.5698
357.1767,2073.1772
358.2088,6572.7993
359.2128,763.7015
361.1887,122.0812
362.2032,123.2316
367.1789,132.4701
368.1923,145.4664
370.1862,252.7653
371.1929,677.4319
373.1506,749.2195
373.1874,247.7788
374.2441,140.2703
375.1765,260.0121
376.1983,1138.2255
381.2132,238.1909
383.1722,189.3491
383.2661,533.5781
393.1598,407.3627
393.2186,261.1587
395.2656,289.368
397.2079,2056.1785
398.1825,1854.326
398.2107,366.188
399.1859,444.3095
402.2242,623.7006
403.5387,115.5638
407.2654,6313.0786
408.1396,126.5838
408.2296,119.9287
408.2681,1062.1289
409.022,112.1696
409.1706,127.0583
409.2075,227.8922
409.231,741.0212
409.732,344.2492
410.2379,209.881
410.6465,111.3487
411.2247,201.8582
412.2558,125.4573
412.2934,479.3273
413.2176,114.0498
414.2358,286.4678
421.1538,916.0103
422.1568,212.4588
422.194,140.0387
422.2396,340.5821
423.2043,226.4378
423.227,132.3563
424.1994,129.3749
425.2405,732.4388
425.3118,398.0255
426.2392,175.8441
426.8474,124.7392
427.2378,183.9859
428.2496,328.2409
431.2363,244.5686
432.3002,134.0068
436.2211,121.0368
438.2352,825.704
439.2176,721.167
439.2552,267.4046
440.2505,2474.2932
440.2863,3030.0745
441.2534,630.7215
441.2867,503.677
442.267,563.4763
444.7689,439.6402
446.2608,178.8316
447.271,648.1718
448.2546,221.9174
449.1847,302.8167
449.7603,342.3545
450.2345,419.4104
453.2704,364.4444
454.302,429.6109
456.2456,2579.4314
457.2481,241.9023
458.7661,1757.5543
459.2348,308.6078
459.2674,761.5398
465.1973,207.4612
468.2455,9502.1035
469.2189,1041.2599
469.2485,1698.307
470.1371,122.5039
470.2235,234.2171
470.26,871.9168
471.264,306.8452
471.4694,135.6103
473.3125,333.9515
477.2459,572.1246
486.2329,132.0955
487.2549,143.7416
490.3924,130.9018
494.2038,120.5008
494.251,142.6696
494.3009,252.9222
496.3486,231.1627
498.2929,226.8608
505.278,601.1686
506.205,204.5852
508.3009,997.951
508.8021,215.1254
511.2648,141.6832
511.3229,222.703
515.2706,232.6215
515.7448,595.9976
515.811,116.7116
520.3493,4453.4814
521.3107,230.8691
521.3536,997.4742
522.293,205.948
524.3059,727.547
525.3093,286.5024
525.375,319.6812
526.2654,203.7845
527.182,110.1084
530.33,145.9819
532.359,591.6121
534.2386,283.616
534.2702,411.5855
537.3403,187.821
539.3188,4442.9209
540.3232,776.4139
541.3353,614.5037
542.3361,331.2442
547.2171,146.7969
549.303,916.0663
550.3091,149.151
551.3191,417.3682
553.2968,261.1588
553.3708,1116.8035
554.2468,570.1741
554.3748,214.8974
560.3547,1077.0436
561.3579,346.4797
562.269,2011.0898
563.2737,365.2514
564.2466,258.7958
567.3138,16119.3857
568.3171,3800.3003
569.3294,3258.2563
570.3339,672.5203
571.269,303.9917
577.3093,239.321
581.239,144.3494
581.3286,540.9548
583.3454,410.2054
587.2932,266.218
587.3593,221.4796
588.2935,439.4879
590.3318,221.2323
593.3658,1894.9989
593.8676,1095.2958
594.3691,134.0942
599.2911,576.9722
605.3068,545.6956
606.3057,304.407
611.3726,154.7698
616.2885,266.3977
617.2938,145.7147
619.2922,964.9863
619.4185,3126.7322
620.2963,381.7613
620.4194,958.3792
637.3927,150.8389
638.3877,3002.4377
639.3892,502.493
648.3105,142.6757
648.3717,708.9217
652.4017,231.5236
652.8903,3898.0859
653.391,2592.054
653.8941,297.7021
654.4176,352.0199
658.3659,230.5152
661.4035,444.0853
661.895,2244.322
662.3979,1040.0021
662.8958,226.8915
663.3126,277.4478
666.3826,16885.5176
667.3854,4578.272
668.389,299.2398
676.3782,267.7315
680.3981,2566.1672
681.4005,673.4983
682.4125,1413.6635
683.4166,302.1849
684.3576,149.7094
686.3627,801.175
686.8438,129.7653
687.3686,227.8412
689.3985,1629.8489
690.3592,259.2454
690.4081,520.209
696.4237,203.1794
704.3734,2668.905
705.377,517.5459
712.3774,511.8835
712.4236,184.4843
716.3995,129.9257
718.4359,181.4723
718.4857,1391.6587
719.4893,396.1049
722.8954,133.9751
746.4221,903.9532
747.425,386.3142
751.4713,1325.1656
752.475,494.0919
757.4359,290.4567
759.3774,136.5134
759.8826,150.0955
761.4579,712.2363
767.3729,714.8173
767.4279,612.5598
767.8909,461.7737
767.9744,223.3907
768.3308,1584.0126
768.3969,791.4908
768.435,209.1487
772.4327,139.1219
775.4491,280.6685
779.4668,9947.6357
780.4702,3505.5222
781.4731,287.8652
785.4297,1640.2041
786.4332,572.6867
789.4626,658.2081
789.5237,529.1078
793.4799,694.7182
795.4964,234.3955
799.3546,253.0411
799.4465,300.9608
803.4415,4159.5513
804.4469,1108.5459
805.3883,672.3317
809.254,131.9415
813.4462,229.8906
817.4571,6911.2046
818.4602,2240.8838
819.4636,234.2903
825.4614,323.7793
826.4654,251.0395
827.4538,194.2391
829.4836,198.7527
830.4854,213.6909
831.3987,149.6901
840.4153,297.8675
845.3979,636.8494
846.4034,275.7665
846.5461,2684.6528
847.549,1135.4121
864.5541,550.8827
870.5216,357.0207
876.4267,360.4959
877.9706,153.7785
878.5369,216.1095
880.4431,155.9555
888.53,1250.2761
889.5317,514.1309
892.5509,3268.7075
893.5534,1423.865
898.5155,2302.1975
899.5165,1164.9647
902.4215,240.7995
912.4938,827.619
913.5008,352.2354
916.5259,15750.5811
917.5282,6128.0435
918.5333,566.1478
926.5359,365.0648
930.4048,234.3999
957.5749,224.4288
958.5882,294.7776
959.4481,428.8003
963.4608,593.6859
975.5884,2871.6604
976.5911,1553.7976
977.5928,229.8053
978.5058,152.1772
983.6039,225.9932
987.0255,131.8332
987.6002,543.8097
988.6046,411.2616
995.4904,278.8078
996.4948,227.9987
997.5883,268.2237
1002.4842,876.6536
1003.4899,336.5846
1011.5983,1531.8899
1012.5975,697.5814
1013.543,1090.7047
1014.5447,554.9283
1015.5948,12028.3467
1016.5977,6164.1328
1017.5952,613.6337
1029.6096,1635.2584
1030.484,988.2274
1030.6084,562.9782
1031.491,425.909
1031.6217,185.2526
1032.4818,232.0301
1039.6178,711.4648
1040.6277,327.1424
1050.4901,1377.6519
1051.4973,237.4681
1059.509,322.4691
1060.5125,225.6759
1087.5112,292.0287
1088.5067,198.6422
1088.672,2132.2388
1089.676,1534.8762
1092.7739,128.7805
1098.6593,213.8349
1100.683,455.9431
1101.691,239.1747
1107.5917,142.5115
1128.6788,5089.9673
1129.6798,2945.0005
1130.4912,148.4881
1130.6853,313.8927
1142.6851,154.1701
1146.2189,132.6192
1149.5562,1725.0789
1150.5586,1296.3828
1151.5667,304.8321
1158.6716,338.3654
1160.6117,413.9454
1161.6194,394.377
1163.578,544.4717
1167.7206,311.4904
1168.7201,203.5318
1176.6823,303.4505
1177.5525,1103.2881
1177.6803,312.6173
1178.55,757.3369
1179.5555,146.1054
1185.7253,13304.7637
1186.7278,7922.5054
1187.7351,1094.8409
1206.5771,586.6654
1207.579,263.5506
1222.6198,164.7063
1231.6365,182.6505
1234.592,225.4897
1235.5745,282.2378
1241.7684,925.8685
1242.7723,531.5497
1288.6672,612.9485
1289.6685,430.1701
1322.7939,471.7474
1323.7919,359.994
1385.7195,799.1681
1386.7281,336.4416
1440.7303,1061.152
1441.7297,1138.3184
